"Short name","Hour","HUAW_eRAN_R8_DL Traffic Volume MBytes","HUAW_eRAN_R8_UL Traffic Volume MBytes","L.Traffic.ActiveUser.DL.Max","L.Traffic.ActiveUser.DL.Avg"
1001_L_1_09F01,2016071100,60.802311,19.139710,3,0.042000
1001_L_1_09F01,2016071101,15.716455,1.717439,2,0.008000
1001_L_1_09F01,2016071102,0.720189,0.177309,1,0.001000
1001_L_1_09F01,2016071103,0.057538,0.048357,1,0
1001_L_1_09F01,2016071104,0.062900,0.047171,1,0
1001_L_1_09F01,2016071105,62.324185,0.631495,1,0.005000
1001_L_1_09F01,2016071106,1.997633,0.389731,2,0.001000
1001_L_1_09F01,2016071107,21.453298,2.447210,2,0.013000
1001_L_1_09F01,2016071108,66.153873,5.480996,2,0.030000
1001_L_1_09F01,2016071109,30.678105,4.544229,2,0.017000
1001_L_1_09F01,2016071110,21.330851,6.977149,3,0.023000
1001_L_1_09F01,2016071111,14.175920,6.354039,2,0.016000
1001_L_1_09F01,2016071112,13.915022,3.721700,2,0.013000
1001_L_1_09F01,2016071113,18.713799,3.158208,2,0.016000
1001_L_1_09F01,2016071114,7.608634,3.301532,2,0.012000
1001_L_1_09F01,2016071115,22.279735,4.943746,3,0.023000
1001_L_1_09F01,2016071116,28.257996,21.133323,3,0.018000
1001_L_1_09F01,2016071117,21.320168,10.202595,2,0.018000
1001_L_1_09F01,2016071118,37.389305,4.532631,2,0.034000
1001_L_1_09F01,2016071119,25.686361,23.865387,2,0.026000
1001_L_1_09F01,2016071120,22.338831,3.783138,2,0.021000
1001_L_1_09F01,2016071121,22.385084,3.753201,3,0.020000
1001_L_1_09F01,2016071122,17.908603,2.936169,3,0.015000
1001_L_1_09F01,2016071123,3.279087,0.911446,2,0.006000
1001_L_1_09F01,2016071200,1.001860,0.467580,2,0.003000
1001_L_1_09F01,2016071201,0.396507,0.239416,2,0.001000
1001_L_1_09F01,2016071202,0.406380,0.269659,1,0.001000
1001_L_1_09F01,2016071203,0.407092,0.278367,2,0.002000
1001_L_1_09F01,2016071204,1.823629,0.247148,1,0.001000
1001_L_1_09F01,2016071205,0.605971,0.223430,1,0.001000
1001_L_1_09F01,2016071206,1.980818,0.594028,2,0.003000
1001_L_1_09F01,2016071207,16.323710,2.184351,2,0.009000
1001_L_1_09F01,2016071208,45.435184,5.131208,3,0.025000
1001_L_1_09F01,2016071209,14.965755,2.670471,2,0.015000
1001_L_1_09F01,2016071210,163.675987,6.199139,2,0.039000
1001_L_1_09F01,2016071211,42.755721,4.359021,3,0.020000
1001_L_1_09F01,2016071212,15.143966,2.732132,2,0.014000
1001_L_1_09F01,2016071213,31.509723,4.361937,3,0.023000
1001_L_1_09F01,2016071214,7.638331,2.553656,2,0.012000
1001_L_1_09F01,2016071215,59.783546,5.972630,3,0.023000
1001_L_1_09F01,2016071216,19.699626,11.911351,3,0.030000
1001_L_1_09F01,2016071217,42.076623,4.211971,2,0.020000
1001_L_1_09F01,2016071218,63.286052,6.728470,3,0.044000
1001_L_1_09F01,2016071219,38.593169,6.173634,3,0.030000
1001_L_1_09F01,2016071220,20.613882,4.726389,3,0.021000
1001_L_1_09F01,2016071221,15.831377,2.870171,2,0.013000
1001_L_1_09F01,2016071222,25.127511,7.762280,2,0.022000
1001_L_1_09F01,2016071223,17.320821,2.759718,2,0.018000
1001_L_1_09F02,2016071100,0.020226,0.010547,1,0
1001_L_1_09F02,2016071101,0.001595,0.001677,1,0
1001_L_1_09F02,2016071102,0,0,0,0
1001_L_1_09F02,2016071103,0,0,0,0
1001_L_1_09F02,2016071104,0,0.000004,1,0
1001_L_1_09F02,2016071105,0.238262,0.045869,1,0
1001_L_1_09F02,2016071106,0.012455,0.010789,1,0
1001_L_1_09F02,2016071107,9.948331,0.564897,2,0.003000
1001_L_1_09F02,2016071108,3.589365,1.919420,2,0.007000
1001_L_1_09F02,2016071109,4.581592,2.093772,2,0.007000
1001_L_1_09F02,2016071110,3.236067,2.150146,2,0.012000
1001_L_1_09F02,2016071111,5.417215,2.063754,2,0.009000
1001_L_1_09F02,2016071112,52.600849,7.472376,3,0.023000
1001_L_1_09F02,2016071113,43.094992,3.124178,2,0.015000
1001_L_1_09F02,2016071114,26.539127,4.092023,2,0.014000
1001_L_1_09F02,2016071115,24.551197,1.453916,2,0.010000
1001_L_1_09F02,2016071116,2.313776,0.771745,2,0.001000
1001_L_1_09F02,2016071117,6.385206,0.774894,1,0.002000
1001_L_1_09F02,2016071118,0.067419,0.035260,1,0
1001_L_1_09F02,2016071119,0.267773,0.118211,1,0.001000
1001_L_1_09F02,2016071120,0.524655,0.062398,1,0
1001_L_1_09F02,2016071121,0.267126,0.025049,1,0
1001_L_1_09F02,2016071122,0.018587,0.013158,1,0
1001_L_1_09F02,2016071123,3.045156,0.124110,1,0
1001_L_1_09F02,2016071200,0,0.000002,1,0
1001_L_1_09F02,2016071201,1.141197,0.458638,1,0.001000
1001_L_1_09F02,2016071202,0.010105,0.007518,1,0
1001_L_1_09F02,2016071203,0.009927,0.002617,1,0
1001_L_1_09F02,2016071204,0.070617,0.040401,1,0
1001_L_1_09F02,2016071205,0,0.000013,1,0
1001_L_1_09F02,2016071206,0.168440,0.033175,1,0.001000
1001_L_1_09F02,2016071207,4.445295,0.387819,1,0.001000
1001_L_1_09F02,2016071208,35.541043,2.891178,2,0.013000
1001_L_1_09F02,2016071209,14.530699,2.607755,2,0.011000
1001_L_1_09F02,2016071210,9.833146,2.460649,2,0.010000
1001_L_1_09F02,2016071211,13.687843,3.422642,2,0.015000
1001_L_1_09F02,2016071212,132.887177,5.289204,2,0.035000
1001_L_1_09F02,2016071213,96.121134,9.820207,3,0.037000
1001_L_1_09F02,2016071214,9.493983,0.565494,1,0.003000
1001_L_1_09F02,2016071215,15.063206,1.244065,1,0.004000
1001_L_1_09F02,2016071216,17.199031,2.039506,2,0.008000
1001_L_1_09F02,2016071217,3.374154,0.169526,1,0.001000
1001_L_1_09F02,2016071218,0.243791,1.284092,1,0
1001_L_1_09F02,2016071219,0.130474,0.056568,1,0
1001_L_1_09F02,2016071220,0.153088,0.070577,1,0
1001_L_1_09F02,2016071221,0.089518,0.083896,1,0
1001_L_1_09F02,2016071222,0.093791,0.040174,1,0
1001_L_1_09F02,2016071223,0.039001,0.045981,1,0
1001_L_1_09F03,2016071100,1.426234,0.197012,1,0.001000
1001_L_1_09F03,2016071101,2.496257,0.301352,1,0.001000
1001_L_1_09F03,2016071102,0.543585,0.151883,2,0
1001_L_1_09F03,2016071103,0.026593,0.033077,1,0
1001_L_1_09F03,2016071104,0.024607,0.027428,1,0
1001_L_1_09F03,2016071105,21.227359,0.179248,1,0.003000
1001_L_1_09F03,2016071106,3.061927,0.400578,1,0.001000
1001_L_1_09F03,2016071107,3.088555,0.395004,2,0.005000
1001_L_1_09F03,2016071108,18.868459,1.878475,2,0.006000
1001_L_1_09F03,2016071109,13.854637,1.000920,2,0.004000
1001_L_1_09F03,2016071110,15.162253,1.469614,2,0.006000
1001_L_1_09F03,2016071111,19.343711,2.118693,2,0.009000
1001_L_1_09F03,2016071112,2.908761,0.806782,2,0.004000
1001_L_1_09F03,2016071113,3.275403,1.756986,2,0.004000
1001_L_1_09F03,2016071114,6.201364,2.198775,2,0.005000
1001_L_1_09F03,2016071115,4.704697,0.743881,2,0.004000
1001_L_1_09F03,2016071116,30.839338,2.209761,2,0.010000
1001_L_1_09F03,2016071117,27.786415,2.391711,2,0.009000
1001_L_1_09F03,2016071118,23.912934,1.293101,2,0.009000
1001_L_1_09F03,2016071119,27.555490,1.777155,2,0.015000
1001_L_1_09F03,2016071120,4.305264,0.568180,2,0.006000
1001_L_1_09F03,2016071121,18.890796,1.778699,2,0.013000
1001_L_1_09F03,2016071122,7.916102,0.354545,2,0.004000
1001_L_1_09F03,2016071123,0.197342,0.993106,2,0.001000
1001_L_1_09F03,2016071200,0.483733,0.216061,1,0.001000
1001_L_1_09F03,2016071201,0.053234,0.030098,1,0
1001_L_1_09F03,2016071202,0.048599,0.043489,1,0
1001_L_1_09F03,2016071203,0.000411,0.000454,1,0
1001_L_1_09F03,2016071204,0.801351,0.104611,1,0
1001_L_1_09F03,2016071205,0.353012,0.032736,1,0
1001_L_1_09F03,2016071206,7.513048,1.087677,1,0.004000
1001_L_1_09F03,2016071207,3.261953,0.569421,2,0.005000
1001_L_1_09F03,2016071208,54.695679,3.173536,3,0.018000
1001_L_1_09F03,2016071209,15.356591,1.343709,2,0.010000
1001_L_1_09F03,2016071210,4.584201,0.368270,2,0.002000
1001_L_1_09F03,2016071211,9.025617,0.895514,2,0.004000
1001_L_1_09F03,2016071212,65.893970,3.089549,3,0.030000
1001_L_1_09F03,2016071213,40.425309,19.111292,3,0.023000
1001_L_1_09F03,2016071214,40.346383,3.365182,2,0.009000
1001_L_1_09F03,2016071215,8.371941,1.977284,2,0.006000
1001_L_1_09F03,2016071216,20.947438,8.380001,2,0.018000
1001_L_1_09F03,2016071217,13.368575,1.472322,2,0.006000
1001_L_1_09F03,2016071218,37.003646,1.810877,2,0.009000
1001_L_1_09F03,2016071219,6.754559,1.429295,2,0.004000
